prop_name,completion_year,monthly_rent,property_type,rooms,parking,bathroom,size,furnished,facilities,additional_facilities,city,area
Bayu Sentul Condominium,2015,1700,Condominium,3,2,2,1300,Partially Furnished,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court","Cooking Allowed, Washing Machine",Kuala Lumpur , Sentul
Vista Angkasa,,1800,Apartment,3,1,2,1200,Partially Furnished,"Parking, Security, Swimming Pool, Jogging Track, Minimart, Lift, Playground, Multipurpose hall, Barbeque area, Tennis Court","Cooking Allowed, Near KTM/LRT",Kuala Lumpur , Bangsar South
The Nest Residence @ Genting Klang,,1600,Service Residence,3,1,2,770,Fully Furnished,"Parking, Playground, Gymnasium, Jogging Track, Lift, Minimart, Tennis Court, Squash Court, Security, Swimming Pool",Air-Cond,Kuala Lumpur , Setapak
Sky Awani 3 Residence Setpak,,1600,Service Residence,3,2,2,800,Fully Furnished,"Parking, Gymnasium, Sauna, Security, Lift, Swimming Pool, Playground, Barbeque area","Cooking Allowed, Air-Cond, Near KTM/LRT",Kuala Lumpur , Setapak
M Centura,2021,1650,Service Residence,3,2,2,850,Partially Furnished,Parking,"Cooking Allowed, Air-Cond",Kuala Lumpur , Sentul
M Centura,2021,1200,Service Residence,2,1,1,646,Not Furnished,"Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area, Playground, Jogging Track",,Kuala Lumpur , Sentul
OG Heights,1988,1200,Condominium,2,1,2,1000,Partially Furnished,"Parking, Jogging Track, Tennis Court, Lift, Sauna, Minimart","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Pantai
8 Petaling,2014,2599,Condominium,4,3,5,1899,Fully Furnished,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Squash Court","Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine",Kuala Lumpur , Sri Petaling
Delima J Apartment,,1400,Apartment,3,1,2,1000,Partially Furnished,"Playground, Security, Parking","Air-Cond, Cooking Allowed",Kuala Lumpur , Desa Pandan
Lexa Residence @ The Quartz WM,,2600,Service Residence,4,,2,877,Fully Furnished,,,Kuala Lumpur , Wangsa Maju
The Nest Residence @ Genting Klang,,900,Service Residence,1,1,1,360,Fully Furnished,"Swimming Pool, Minimart, Tennis Court, Squash Court, Parking, Playground, Gymnasium, Jogging Track, Security, Lift",,Kuala Lumpur , Setapak
